,Pozitif_yazi,Pozitif_sonuc
32, cryptokin6s  elonmusk  akbank  littlebull  littlebulltoken  littlebulltoken good project  strong team easy 100x cmc loading   contact https  co gscuril6iv  https  co 1y3cnpwgto  https  co fuxabgwzg4...  0x01413859d321f423054f6a26276325e8085dd5fc,"Sentiment(polarity=0.5222222222222223, subjectivity=0.7222222222222223)"
33, cryptobethany  akbank  euro2020  littlebull  littlebulltoken  littlebulltoken good project  strong team easy 100x cmc loading   contact https  co pa74ov2muy  https  co o0pib4nwcm  https  co wlpvublugr...  0x01413859d321f423054f6a26276325e8085dd5fc,"Sentiment(polarity=0.5222222222222223, subjectivity=0.7222222222222223)"
34, danchoitoken  akbank  littlebull  littlebulltoken  littlebulltoken good project  strong team easy 100x cmc loading   contact https  co gscuril6iv  https  co 1y3cnpwgto  https  co fuxabgwzg4...  0x01413859d321f423054f6a26276325e8085dd5fc,"Sentiment(polarity=0.5222222222222223, subjectivity=0.7222222222222223)"
35, binancechain  bsc daily  akbank  littlebull  littlebulltoken  littlebulltoken good project  strong team easy 100x cmc loading   contact https  co gscuril6iv  https  co 1y3cnpwgto  https  co fuxabgwzg4...  0x01413859d321f423054f6a26276325e8085dd5fc,"Sentiment(polarity=0.39166666666666666, subjectivity=0.5416666666666667)"
36, kevinisherez  vwbeetle token  akbank  littlebull  littlebulltoken  littlebulltoken good project  strong team easy 100x cmc loading   contact https  co gscuril6iv  https  co 1y3cnpwgto  https  co fuxabgwzg4...  0x01413859d321f423054f6a26276325e8085dd5fc,"Sentiment(polarity=0.5222222222222223, subjectivity=0.7222222222222223)"
37,akbank shared  latest situation  atms started  serve https  co 2pdgvvje8g,"Sentiment(polarity=0.5, subjectivity=0.9)"
38, davidgokhshtein  foxbusiness  cvpayne  goingparabolic  akbank  littlebull  littlebulltoken  littlebulltoken good project  strong team easy 100x cmc loading   contact https  co gscuril6iv  https  co 1y3cnpwgto  https  co fuxabgwzg4...  0x01413859d321f423054f6a26276325e8085dd5fc,"Sentiment(polarity=0.5222222222222223, subjectivity=0.7222222222222223)"
39, davidgokhshtein  akbank  littlebull  littlebulltoken  littlebulltoken good project  strong team easy 100x cmc loading   contact https  co gscuril6iv  https  co 1y3cnpwgto  https  co fuxabgwzg4...  0x01413859d321f423054f6a26276325e8085dd5fc,"Sentiment(polarity=0.5222222222222223, subjectivity=0.7222222222222223)"
40, pancakeswap  akbank  littlebull  littlebulltoken  littlebulltoken good project  strong team easy 100x cmc loading   contact https  co gscuril6iv  https  co 1y3cnpwgto  https  co fuxabgwzg4...  0x01413859d321f423054f6a26276325e8085dd5fc,"Sentiment(polarity=0.5222222222222223, subjectivity=0.7222222222222223)"
41, russell mc  crypt0mummy  fegtoken  akbank  littlebull  littlebulltoken  littlebulltoken good project  strong team easy 100x cmc loading   contact https  co gscuril6iv  https  co 1y3cnpwgto  https  co fuxabgwzg4...  0x01413859d321f423054f6a26276325e8085dd5fc,"Sentiment(polarity=0.5222222222222223, subjectivity=0.7222222222222223)"
42, crypt0mummy  fegtoken  akbank  littlebull  littlebulltoken  littlebulltoken good project  strong team easy 100x cmc loading   contact https  co gscuril6iv  https  co 1y3cnpwgto  https  co fuxabgwzg4...  0x01413859d321f423054f6a26276325e8085dd5fc,"Sentiment(polarity=0.5222222222222223, subjectivity=0.7222222222222223)"
43, temmuz1919  bytew   available    august   bitcoinmagazine  akbank  defi  byteexchange  bytedex  bytew https  co h7235vrzey,"Sentiment(polarity=0.4, subjectivity=0.4)"
44, volkanturker81  bycoinhunter  akbank  littlebull  littlebulltoken  littlebulltoken good project  strong team easy 100x cmc loading   contact https  co gscuril6iv  https  co 1y3cnpwgto  https  co fuxabgwzg4...  0x01413859d321f423054f6a26276325e8085dd5fc,"Sentiment(polarity=0.5222222222222223, subjectivity=0.7222222222222223)"
45, bycoinhunter  akbank  littlebull  littlebulltoken  littlebulltoken good project  strong team easy 100x cmc loading   contact https  co gscuril6iv  https  co 1y3cnpwgto  https  co fuxabgwzg4...  0x01413859d321f423054f6a26276325e8085dd5fc,"Sentiment(polarity=0.5222222222222223, subjectivity=0.7222222222222223)"
46, trustwalletapp  akbank  euro2020 littlebull  littlebulltoken  littlebulltoken good project  strong team easy 100x cmc loading   contact https  co zujdyvalkb  https  co wm039ngour  https  co c1ndaidats...  0x01413859d321f423054f6a26276325e8085dd5fc,"Sentiment(polarity=0.5222222222222223, subjectivity=0.7222222222222223)"
